Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Nigeria,NGA,39377951445.6481,38346262719.17,36245524761.187,18501778265.052,25140128692.0661,34135241239.9801,39854311852.2361,43297726359.528,45405677439.0672,50524864261.8854,50245326395.4967,57912213005.6127,77787088830.0566,83563378741.7589,106282911592.429,134261779797.002,199188708486.115,227234605874.289,275013402711.797,247409404891.413,293431576478.3,323487212414.446,371531355255.71,423720250266.34,483590240570.028,427297983711.111,354205619259.166,321488689032.274,348408553490.782,375139240375.531,363360574592.209,363312013594.576,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Norway,NOR,87291783069.0759,91805864829.3197,99207653583.497,90617126106.0137,96902836876.115,117044413653.108,123608763860.848,124666787824.073,123667428327.473,126393144442.792,125479906737.026,133409260839.963,151028972182.942,178843729915.229,205468855891.553,242700829494.46,268644598721.752,312167779466.169,347726419273.962,299447588778.967,338819149345.849,385311841573.487,397506822731.078,412849278594.684,401670147035.416,317756972154.446,306090193894.975,325971915844.344,353180070068.566,324344668216.053,290221613788.504,378328312982.983,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Oman,OMN,5985148340.0094,7167675878.357,7767107025.12575,7785872888.4996,8254245481.94676,8698172971.07966,9057062661.23965,9810956848.16204,9283102956.90533,9464851281.83478,10270007363.1122,11190902294.3563,12482506717.3223,13427563943.112,14731388306.747,17014254693.1589,21321056768.3658,24438381958.0044,35464366278.1512,26554113593.0737,35677488138.9959,38236352519.43,45465025430.4268,48156584313.4962,50531647043.364,51311067027.2959,50684475111.2327,53061502389.1152,61210911185.3696,59074357919.7336,54445023707.397,56515483861.806,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Pakistan,PAK,35290884039.3715,40414169739.5695,42893948175.5139,45521567417.4605,45848493971.02,53221686728.6824,55328199658.9117,54238402366.3872,53844716201.919,55078372989.9196,71435724232.6382,69142617285.4626,69249859758.5101,80348562413.9369,94911109359.8778,105508532730.561,120915391232.387,134750517012.195,151302099091.614,151322138630.61,161090757161.8,196247353307.366,206129623348.196,213155853055.225,226181709000.193,251937055179.524,292507661560.589,316584717383.637,331564460593.434,298462131376.902,279591456968.168,326464029639.238,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Panama,PAN,5679559290.27004,6065822529.26653,7123064779.14657,7833108187.12123,8432786277.67843,8352150925.51803,8906896321.83129,9440730622.36212,10194630125.3908,10468221913.4724,10758757937.6735,10896526423.4278,11680260702.482,11830864128.079,12885796125.046,14084717040.9882,15513149842.0319,18557251143.5756,22159458403.9385,24188090487.419,25421213995.2461,30811065356.1846,35559306950.5436,40214085486.1981,42846236178.0528,47414115415.743,50088703129.2518,54241266331.4932,55055132794.2527,56472425762.5738,46755627625.5259,51479784105.6909,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Papua New Guinea,PNG,2306837984.01571,2796828804.1072,2873546989.90825,3170064868.11448,3643464963.98466,2936520297.71623,3362238045.11835,3703139460.86767,2815116732.86197,2482255094.69398,2390043852.49662,2218586974.64989,2112313906.97864,2287316863.71535,2476238385.46112,3112551058.21404,5403321905.37977,6608472870.38946,7972962330.4175,8338416595.29886,9592477405.37384,12112819865.6926,16795014153.9821,16734420326.4654,19093098796.1044,17539612760.6181,16991954425.7135,18227358088.3117,19255880962.856,19309314572.8762,19538494315.1476,18341899498.9312,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Paraguay,PRY,..,..,..,..,..,7227570522.12207,8278597077.17948,8046727186.29474,7473714355.41095,7037108337.80329,6632255711.11557,6533203884.87023,5899675198.47441,5802372298.2412,7453242868.06301,8312915168.54051,10749053636.6377,15059831535.6958,20904688934.5281,18787614471.5864,22917124910.5506,28785379968.439,28116646133.5536,33153449793.0443,35311098984.1316,31841843064.7248,31926224462.9193,34829795497.7803,35889215057.0273,33840040283.0872,31353709365.8705,35184118793.8752,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Peru,PER,21250933891.6799,30083391741.2752,31766064052.0673,30814817797.6391,39394775229.5325,46320534000.5188,48735545450.0052,51602278788.3448,49729900682.1961,44345919886.1362,45207031061.2254,46259403298.486,48752466843.557,51704215863.3914,56610868309.9603,63466203686.9739,69558632526.5512,81078216304.5381,98582399097.9558,100779191982.835,121188990398.51,139512301700.055,159849714943.219,170276584634.199,171873870165.238,164296810031.077,162449866443.486,175604093542.119,183693882267.705,195779707013.036,173421351567.794,170492332492.267,..,..
